 address,district_title,deputies
"вулиця Дорожня 37, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Дорожня 42, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Дорожня 98, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Дружби 128а, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Дружби 14, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Дружби 35, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Дружби 43, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Дружби 53, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Дружби 7, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Євпаторійська 14, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Євпаторійська 29, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Євпаторійська 4, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Євпаторійська 9, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Жуковського 19, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Жуковського 34, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Жуковського 49, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Заводська  29, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Заводська  42, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Заводська  44, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Заводська  51, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Заводська  55, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Заводська  7, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Захівників України 1, ",Дані відсутні,Дані відсутні
"вулиця Звивиста 2А2А, ",Дані відсутні,Дані відсутні
"вулиця Зеленбуд 30, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Зеленбуд 32а, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Зеленбуд 7а, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Зеленбуд 8, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Земська 18, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Земська 46, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Земська 64, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Земська 71, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Земська 77, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Земська 82, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Зої Космодем'янської 47, Маріуполь",Дані відсутні,Дані відсутні
